parcel_uid;parcel_id;client_id;lat;lon;rain_72h_mm;rain_7d_mm;temp_media_7d;humedad_suelo_%;weather_source;weather_updated_at;weather_status;weather_error
18-116-00510-00166-002;cliente_1_P022;cliente_1;37.18267458053516;-3.0691408658096453;0.0;0.0;22.4;9.2;open-meteo;2026-06-05T11:32:28;ok;
18-116-00510-00139-004;cliente_1_P023;cliente_1;37.18870267044553;-3.064732833018259;0.0;0.0;22.5;9.2;open-meteo;2026-06-05T11:32:28;ok;
18-116-00510-00130-003;cliente_1_P024;cliente_1;37.19199477070285;-3.0716417129134728;0.0;0.0;22.5;9.2;open-meteo;2026-06-05T11:32:29;ok;
18-116-00510-00130-002;cliente_1_P025;cliente_1;37.19248668031472;-3.071956459116663;0.0;0.0;22.5;9.2;open-meteo;2026-06-05T11:32:29;ok;
18-116-00511-00012-001;cliente_1_P026;cliente_1;37.204013093154465;-3.0793247620177895;0.0;0.0;22.7;9.2;open-meteo;2026-06-05T11:32:29;ok;
18-116-00511-00005-004;cliente_1_P027;cliente_1;37.208381892243736;-3.090285044777565;0.0;0.0;22.8;9.2;open-meteo;2026-06-05T11:32:29;ok;
18-116-00511-00003-002;cliente_1_P028;cliente_1;37.209037394567915;-3.0918519812492784;0.0;0.0;22.8;9.2;open-meteo;2026-06-05T11:32:29;ok;
18-116-00510-00252-003;cliente_1_P029;cliente_1;37.18894732766575;-3.0689131210528924;0.0;0.0;22.5;9.2;open-meteo;2026-06-05T11:32:29;ok;
18-116-00503-00064-003;cliente_1_P030;cliente_1;37.270992821532616;-3.0018217931581743;0.0;0.0;22.5;12.5;open-meteo;2026-06-05T11:32:29;ok;
18-116-00504-00025-008;cliente_1_P031;cliente_1;37.259114829070995;-3.024983990974497;0.0;0.0;23.1;12.5;open-meteo;2026-06-05T11:32:29;ok;
18-116-00511-00003-005;cliente_1_P032;cliente_1;37.20794319290216;-3.0913073753479745;0.0;0.0;22.8;9.2;open-meteo;2026-06-05T11:32:29;ok;
18-116-00510-00112-005;cliente_1_P033;cliente_1;37.186265043884795;-3.0727020934109444;0.0;0.0;22.4;9.2;open-meteo;2026-06-05T11:32:29;ok;
